Region Number,Region Name,Cortical Area,Region Name CN,R_label_in_annotation,L_label_in_annotation,R_label_in_ROIs,L_label_in_ROIs
1,Primary Visual Cortex,V1,初级视觉皮层,R_V1_ROI,L_V1_ROI,GM_001R_V1,GM_181L_V1
2,Early Visual Cortex,V2,早期视觉皮层,R_V2_ROI,L_V2_ROI,GM_004R_V2,GM_184L_V2
2,Early Visual Cortex,V3,早期视觉皮层,R_V3_ROI,L_V3_ROI,GM_005R_V3,GM_185L_V3
2,Early Visual Cortex,V4,早期视觉皮层,R_V4_ROI,L_V4_ROI,GM_006R_V4,GM_186L_V4
3,Dorsal Stream Visual Cortex,V3A,背侧视觉皮层,R_V3A_ROI,L_V3A_ROI,GM_013R_V3a,GM_193L_V3A
3,Dorsal Stream Visual Cortex,V3b,背侧视觉皮层,R_V3B_ROI,L_V3B_ROI,GM_019R_V3b,GM_199L_V3B
3,Dorsal Stream Visual Cortex,V6,背侧视觉皮层,R_V6_ROI,L_V6_ROI,GM_003R_V6,GM_183L_V6
3,Dorsal Stream Visual Cortex,V6A,背侧视觉皮层,R_V6A_ROI,L_V6A_ROI,GM_152R_V6A,GM_332L_V6A
3,Dorsal Stream Visual Cortex,V7,背侧视觉皮层,R_V7_ROI,L_V7_ROI,GM_016R_V7,GM_196L_V7
3,Dorsal Stream Visual Cortex,IPS1,背侧视觉皮层,R_IPS1_ROI,L_IPS1_ROI,GM_017R_IPS1,GM_197L_IPS1
4,Ventral Stream Visual Cortex,V8,腹侧视觉皮层,R_V8_ROI,L_V8_ROI,GM_007R_V8,GM_187L_V8
4,Ventral Stream Visual Cortex,VVC,腹侧视觉皮层,R_VVC_ROI,L_VVC_ROI,GM_163R_VVC,GM_343L_VVC
4,Ventral Stream Visual Cortex,PIT,腹侧视觉皮层,R_PIT_ROI,L_PIT_ROI,GM_022R_PIT,GM_202L_PIT
4,Ventral Stream Visual Cortex,FFC,腹侧视觉皮层,R_FFC_ROI,L_FFC_ROI,GM_018R_FFC,GM_198L_FFC
4,Ventral Stream Visual Cortex,VMV1,腹侧视觉皮层,R_VMV1_ROI,L_VMV1_ROI,GM_153R_VMV1,GM_333L_VMV1
4,Ventral Stream Visual Cortex,VMV2,腹侧视觉皮层,R_VMV2_ROI,L_VMV2_ROI,GM_160R_VMV2,GM_340L_VMV2
4,Ventral Stream Visual Cortex,VMV3,腹侧视觉皮层,R_VMV3_ROI,L_VMV3_ROI,GM_154R_VMV3,GM_334L_VMV3
5,MT+ Complex and Neighboring Visual Areas,V3CD,颞中回与邻近视觉区域,R_V3CD_ROI,L_V3CD_ROI,GM_158R_V3CD,GM_338L_V3CD
5,MT+ Complex and Neighboring Visual Areas,LO1,颞中回与邻近视觉区域,R_LO1_ROI,L_LO1_ROI,GM_020R_LO1,GM_200L_LO1
5,MT+ Complex and Neighboring Visual Areas,LO2,颞中回与邻近视觉区域,R_LO2_ROI,L_LO2_ROI,GM_021R_LO2,GM_201L_LO2
5,MT+ Complex and Neighboring Visual Areas,LO3,颞中回与邻近视觉区域,R_LO3_ROI,L_LO3_ROI,GM_159R_LO3,GM_339L_LO3
5,MT+ Complex and Neighboring Visual Areas,V4t,颞中回与邻近视觉区域,R_V4t_ROI,L_V4t_ROI,GM_156R_V4t,GM_336L_V4t
5,MT+ Complex and Neighboring Visual Areas,FST,颞中回与邻近视觉区域,R_FST_ROI,L_FST_ROI,GM_157R_FST,GM_337L_FST
5,MT+ Complex and Neighboring Visual Areas,MT,颞中回与邻近视觉区域,R_MT_ROI,L_MT_ROI,GM_023R_MT,GM_203L_MT
5,MT+ Complex and Neighboring Visual Areas,MST,颞中回与邻近视觉区域,R_MST_ROI,L_MST_ROI,GM_002R_MST,GM_182L_MST
5,MT+ Complex and Neighboring Visual Areas,PH,颞中回与邻近视觉区域,R_PH_ROI,L_PH_ROI,GM_138R_PH,GM_318L_PH
6,Somatosensory and Motor Cortex,4,感觉运动皮层,R_4_ROI,L_4_ROI,GM_008R_4,GM_188L_4
6,Somatosensory and Motor Cortex,3a,感觉运动皮层,R_3a_ROI,L_3a_ROI,GM_053R_3a,GM_233L_3a
6,Somatosensory and Motor Cortex,3b,感觉运动皮层,R_3b_ROI,L_3b_ROI,GM_009R_3b,GM_189L_3b
6,Somatosensory and Motor Cortex,1,感觉运动皮层,R_1_ROI,L_1_ROI,GM_051R_1,GM_231L_1
